"HR DAILY REPORTS 
(Madhavi.Jangam)
Hr@raditsoftware.com",,,,
DATE,TASK,DETAILES/NOTES,STATUS,Updates:
01-12-2023,Hiring  On POWER BI ,"1. Creating a Job template for POWER BI
2. Job posting 
3. Collecting candidate's profiles and starting telephonic interviews
4. 15 profiles           ",Completed,_
02-12-2023,Collecting profiles,"1. Collecting candidate's profiles and starting telephonic interviews
2. 15 profiles            ",Completed,_
03-12-2023,SUNDAY,HOLIDAY   ,_,
04-12-2023,Collecting profiles,"1. Collecting candidate's profiles and starting telephonic interviews
2. 15 profiles            ",Completed,_
05-12-2023,Collecting profiles,"1. Collecting candidate's profiles and starting telephonic interviews
2. 15 profiles            ",Completed,_
06-12-2023,Preparing POWER BI Final reports  ,Verifying all profiles. Preparing consolidated excel to share.,Completed,_
07-12-2023,Hiring  Java full-stack developer,"1. Creating a Job template for Java full-stack developer
2. Job posting 
3. Collecting candidate's profiles and starting telephonic interviews
4. 15 profiles            ",Completed,_
08-12-2023,_,_,_,_
09-12-2023,Saturday,HOLIDAY,_,_
10-12-2023,SUNDAY,HOLIDAY,,
11-12-2023,Collecting profiles,verifying applicant profiles,,_
12-12-2023,Collecting profiles,telephoning round will be completed,Completed,_
13-12-2023,Submitting final reports on  java full stack ,Prepare consolidated excel to share,Completed,_
14-12-2023,Preparing schedule for  16-12-23.,"1. Scheduling meeting available candidates for the 16-12-23.
2. Send Zoom links in emails for confirmation.
3. Arranging a meeting for the 2nd round. ",Completed,_
15-12-2023,_,_,_,_
16-12-2023,ATTENDING RADIT HR's MEETING,"1. Update! the meeting was postponed due to Panal not being available.
2. To inform all candidates by mail and calls all time.",Completed,_
17-12-2023,SUNDAY,HOLIDAY,_,
18-12-2023,"Weekly Connect today  7.30 pm -8.00 pm
‎Use this link to join a WhatsApp voice call: https://call.whatsapp.com/voice/yrWNech2YtxWNmOLwl6Vmv",Meeting with team Ajam and Rajesh ,Completed,
19-12-2023,_,_,_,_
"20-12-2023
to
21-12-2023","SCHEDULING POWER BI 
CANDIDATES INTERVIEW
(23-12-2023)","* Checking candidate's availability to take interviews.
*Scheduling meetings
*8 candidates ready for interview on Saturday
 and scheduled
 Zoom links were also sent
 to candidates' emails for
 confirmation.
* Profiles and Zoom links  updated in the group
",Completed,_
,,,,_
22-12-2023,_,_,,_
23-12-2023,Saturday,HOLIDAY,,_
24-12-2023,SUNDAY,HOLIDAY,,
25-12-2023,_,_,,_
